x_m,y_m,V_mps,Fr,Sf,E_m
0.0,1.2,3.0227,1.0579,7.5e-05,1.6657
2.0,1.1762,3.1113,1.098,8.1e-05,1.6695
4.0,1.16,3.1737,1.1265,8.6e-05,1.6734
6.0,1.147,3.2252,1.1501,8.9e-05,1.6772
8.0,1.136,3.27,1.1707,9.3e-05,1.681
10.0,1.1263,3.3103,1.1894,9.6e-05,1.6848
12.0,1.1176,3.3473,1.2066,9.9e-05,1.6886
14.0,1.1096,3.3817,1.2226,0.000102,1.6924
16.0,1.1022,3.414,1.2377,0.000104,1.6962
18.0,1.0953,3.4445,1.252,0.000107,1.7
20.0,1.0888,3.4736,1.2657,0.000109,1.7038
22.0,1.0827,3.5014,1.2788,0.000112,1.7076
24.0,1.0769,3.5281,1.2914,0.000114,1.7113
26.0,1.0714,3.5538,1.3036,0.000116,1.7151
28.0,1.0661,3.5787,1.3154,0.000119,1.7189
30.0,1.0611,3.6027,1.3269,0.000121,1.7226
32.0,1.0562,3.6261,1.338,0.000123,1.7264
34.0,1.0516,3.6488,1.3488,0.000125,1.7302
36.0,1.0471,3.6709,1.3594,0.000127,1.7339
38.0,1.0427,3.6924,1.3697,0.000129,1.7376
40.0,1.0385,3.7135,1.3798,0.000131,1.7414
42.0,1.0345,3.734,1.3897,0.000133,1.7451
44.0,1.0305,3.7541,1.3995,0.000135,1.7488
46.0,1.0267,3.7739,1.409,0.000137,1.7526
48.0,1.023,3.7932,1.4183,0.000139,1.7563
50.0,1.0193,3.8121,1.4275,0.000141,1.76
52.0,1.0158,3.8308,1.4366,0.000143,1.7637
54.0,1.0123,3.8491,1.4455,0.000145,1.7674
56.0,1.009,3.867,1.4542,0.000147,1.7712
58.0,1.0057,3.8847,1.4628,0.000149,1.7749
60.0,1.0025,3.9022,1.4713,0.00015,1.7786
62.0,0.9993,3.9193,1.4797,0.000152,1.7823
64.0,0.9963,3.9362,1.488,0.000154,1.786
66.0,0.9933,3.9529,1.4962,0.000156,1.7896
68.0,0.9903,3.9693,1.5043,0.000158,1.7933
70.0,0.9874,3.9855,1.5122,0.000159,1.797
72.0,0.9846,4.0015,1.5201,0.000161,1.8007
74.0,0.9818,4.0173,1.5279,0.000163,1.8044
76.0,0.9791,4.0329,1.5356,0.000165,1.808
78.0,0.9764,4.0483,1.5432,0.000166,1.8117
80.0,0.9738,4.0636,1.5508,0.000168,1.8154
82.0,0.9712,4.0786,1.5582,0.00017,1.819
84.0,0.9686,4.0935,1.5656,0.000171,1.8227
86.0,0.9661,4.1082,1.5729,0.000173,1.8264
88.0,0.9637,4.1228,1.5802,0.000175,1.83
90.0,0.9613,4.1372,1.5873,0.000176,1.8337
92.0,0.9589,4.1515,1.5945,0.000178,1.8373
94.0,0.9565,4.1656,1.6015,0.00018,1.8409
96.0,0.9542,4.1796,1.6085,0.000182,1.8446
98.0,0.952,4.1934,1.6154,0.000183,1.8482
100.0,0.9497,4.2071,1.6223,0.000185,1.8518
102.0,0.9475,4.2207,1.6291,0.000186,1.8555
104.0,0.9453,4.2342,1.6359,0.000188,1.8591
106.0,0.9432,4.2475,1.6426,0.00019,1.8627
108.0,0.9411,4.2608,1.6492,0.000191,1.8663
110.0,0.939,4.2739,1.6558,0.000193,1.87
112.0,0.9369,4.2869,1.6624,0.000195,1.8736
114.0,0.9349,4.2998,1.6689,0.000196,1.8772
116.0,0.9329,4.3126,1.6753,0.000198,1.8808
118.0,0.9309,4.3252,1.6817,0.000199,1.8844
120.0,0.9289,4.3378,1.6881,0.000201,1.888
